Transaction ID,Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Is Fraudulent,Account Age Days,Transaction Hour
c12e07a0-8a06-4c0d-b5cc-04f3af688570,42.32,PayPal,electronics,1,40,desktop,0,282,23
7d187603-7961-4fce-9827-9698e2b6a201,301.34,credit card,electronics,3,35,tablet,0,223,0
f2c14f9d-92df-4aaf-8931-ceaf4e63ed72,340.32,debit card,toys & games,5,29,desktop,0,360,8
e9949bfa-194d-486b-84da-9565fca9e5ce,95.77,credit card,electronics,5,45,mobile,0,325,20
7362837c-7538-434e-8731-0df713f5f26d,77.45,credit card,clothing,5,42,desktop,0,116,15
5da506fe-d4df-474a-b773-146333f06cfe,345.27,PayPal,toys & games,1,9,desktop,0,251,13
47b35c5d-d4c9-4a7d-a354-cd41596abf67,53.69,debit card,toys & games,3,41,mobile,0,138,13
bf3db41c-25a9-4e6d-b87f-13e5fabe35dd,680.17,debit card,electronics,5,39,tablet,0,36,23
8ec806af-c367-4dd0-8218-25d3c8c7a346,126.5,debit card,home & garden,4,35,mobile,0,188,4
3b51c8cd-e0d7-48ba-894f-8f77b2cf2f43,47.18,bank transfer,toys & games,4,19,mobile,0,245,22
147217fc-c355-47ee-907d-e3f9cfc7d6ca,137.74,PayPal,health & beauty,2,24,mobile,0,256,12
2a2a4e1d-0889-49e8-8a0e-9045072665f9,141.09,PayPal,health & beauty,1,53,mobile,0,205,0
c2d10730-a7bb-44e6-a2a3-357e8d029259,95.13,credit card,electronics,4,51,mobile,0,95,19
326199a2-7e5c-4c76-ab15-805ce119b381,260.69,debit card,electronics,5,15,tablet,0,158,2
6dab2ff0-55ea-4fe4-b5cf-e4159276f1e9,70.66,debit card,home & garden,3,42,tablet,0,209,16
f77b607f-230a-4981-bcf2-5db8f26caa1f,36.12,PayPal,toys & games,2,39,tablet,0,301,14
6760f009-e303-42fb-9fc6-a7a349ce3d2e,57.91,debit card,home & garden,3,33,mobile,0,352,17
15547929-bd2d-4517-ad9d-1e6f540d7ebb,10.14,credit card,home & garden,1,24,mobile,0,347,5
9d84b64e-1319-4534-af5f-979e167b9e34,261.52,credit card,toys & games,1,37,mobile,0,72,11
c2702a20-da3d-42fc-8656-834d1ad13bf5,258.23,PayPal,toys & games,4,41,tablet,0,44,22
f675cd27-0c21-4b63-b114-3b4454f53cb7,438.16,credit card,electronics,1,34,tablet,0,118,12
9770f158-53e3-45a6-b020-db4380d94c62,206.21,debit card,electronics,1,37,desktop,0,60,19
0dcaff26-59ab-4d84-a320-120dd9025c86,520.27,PayPal,toys & games,2,18,mobile,0,213,2
94204afa-639f-4e28-9aa7-2d31ff8eeeed,412.96,credit card,home & garden,2,33,desktop,0,211,17
220fefde-27ce-4414-94c4-3ba46615bd34,183.6,bank transfer,electronics,3,27,tablet,0,360,21
59ac0ba0-fd98-48be-aeb1-5da4f6aee87c,112.26,debit card,home & garden,4,48,desktop,0,271,3
0f664ed3-7c50-4db2-bb8a-447529952c70,23.67,bank transfer,electronics,5,35,desktop,0,58,6
387733c1-1079-4fcb-be09-b0fae043fad7,148.94,PayPal,clothing,3,45,mobile,0,297,0
0ff77f0f-32ee-4578-92e9-7fbe8ba88008,369.54,debit card,toys & games,5,22,tablet,0,336,13
f9959bb7-ca0f-4a88-870a-8c83164c6800,530.41,debit card,clothing,5,40,mobile,0,341,7
802a57f3-12a9-4725-b83f-4157168e7b2b,149.24,PayPal,home & garden,2,25,tablet,0,103,20
b17344eb-2921-4c74-bd0f-d9053bdf7037,630.67,debit card,home & garden,1,37,mobile,0,26,9
642c2960-8fdf-4808-bac1-3f95eb606d28,277.73,PayPal,clothing,2,14,tablet,0,170,2
248506e3-8f94-4b35-951b-9831e522f560,428.88,credit card,home & garden,3,28,tablet,0,47,16
0ca5201f-3d38-4b8c-8670-5d3909300c37,77.27,PayPal,clothing,4,45,tablet,0,61,4
7490e1fe-6a24-4a29-aa7e-b660e1f56341,13.91,debit card,home & garden,2,44,desktop,0,326,3
01784f08-338e-461f-9685-6bcb507ab1f4,222.0,bank transfer,home & garden,1,51,tablet,1,194,4
c4e71dea-e6e3-4bbb-a605-6c4729a1f39d,69.19,PayPal,toys & games,2,32,tablet,0,282,16
bae53dc4-3b36-497e-b58c-78653fb80dfa,395.73,credit card,clothing,1,44,desktop,0,69,6
7c668354-10f0-4b38-8576-f8f86e936103,182.1,PayPal,home & garden,3,46,mobile,0,70,3
490ce4b9-41c0-4293-9569-f59c10a82926,194.5,credit card,clothing,2,28,tablet,0,173,14
f1ea7c89-0af4-4d0f-be9b-25b401c69f92,664.16,PayPal,home & garden,5,33,mobile,0,108,16
7255c39c-8ae1-4842-b8bd-2c34ac0ac6f3,52.34,PayPal,electronics,1,34,desktop,0,224,15
41d0e8da-7940-4729-a710-5ed37ebc7fb8,717.55,PayPal,clothing,1,17,tablet,0,280,20
2b0b306d-6bb7-4380-b4c6-4e50c9b8eca3,23.01,bank transfer,toys & games,4,37,tablet,0,326,18
08cf64b1-d4a8-460a-89b1-91abfdd9fc80,32.75,PayPal,toys & games,5,60,desktop,0,214,11
baff6b52-4a53-459f-9785-a8d62b4df456,276.34,credit card,home & garden,4,33,desktop,0,234,18
9b8a7852-3690-483f-bf78-35bc1b842427,231.5,PayPal,home & garden,5,22,mobile,0,221,20
ea29220a-5a5e-4ec5-af82-73dbd560ba30,149.6,bank transfer,clothing,5,23,tablet,0,85,23
dd2a4755-8df9-4ced-bb38-b79ed6b9bf5e,54.74,credit card,health & beauty,2,37,tablet,0,126,13
3d8ed0e2-ca79-4878-a545-b5ce61ad653a,15.7,credit card,health & beauty,4,30,mobile,0,261,22
1488f90f-ba3e-4274-a89b-41fc9fdc8959,438.35,PayPal,home & garden,1,26,mobile,0,358,2
9583f20e-1512-4ff4-9139-8231fb3b3f7b,14.63,credit card,toys & games,2,35,mobile,0,249,21
37805657-5242-437a-9b71-8ecad05e187b,327.33,bank transfer,home & garden,4,37,tablet,0,259,0
16f6357a-6013-4f4e-bd15-009ccfb50c10,28.34,credit card,toys & games,1,44,mobile,0,71,18
5b48b0e6-8386-4812-879f-8896c9f9340b,543.58,bank transfer,electronics,5,31,tablet,0,191,15
48f32e48-633b-4293-83ee-4a9f16144535,132.65,debit card,toys & games,1,26,desktop,0,305,8
24145a8e-8e9e-4949-9230-fd265415f0a3,83.62,debit card,home & garden,1,30,mobile,0,204,15
150d6ee4-77e0-409c-9ad8-84a817894f41,18.89,debit card,toys & games,1,31,tablet,0,136,10
2b071105-0904-4efd-a0f1-01f197f5fe67,387.23,debit card,electronics,1,48,desktop,0,233,18
0b9957ae-cc6f-46e9-a1fd-6a554efde1cb,591.77,debit card,health & beauty,4,27,desktop,0,126,17
76ed591b-039a-4b05-90d7-499b9446e232,13.56,PayPal,health & beauty,4,20,tablet,0,165,11
