step,customer,age,gender,merchant,category,amount,fraud
86,C1372889664,5,F,M1823072687,es_transportation,3.13,0
26,C377075708,2,M,M348934600,es_transportation,27.11,0
39,C1871594117,1,M,M1823072687,es_transportation,27.32,0
176,C730142143,4,F,M348934600,es_transportation,37.87,0
155,C1385354747,4,M,M1823072687,es_transportation,32.33,0
34,C1799882713,1,F,M151143676,es_barsandrestaurants,14.32,0
96,C2116616608,4,F,M348934600,es_transportation,15.2,0
47,C407936671,2,F,M348934600,es_transportation,26.85,0
136,C877773949,3,M,M348934600,es_transportation,5.32,0
63,C1793075309,5,M,M1823072687,es_transportation,27.82,0
153,C1580753738,5,M,M348934600,es_transportation,58.0,0
176,C1354799046,3,M,M1823072687,es_transportation,28.38,0
87,C1049562739,3,M,M1823072687,es_transportation,45.41,0
142,C1619755203,5,F,M1823072687,es_transportation,33.75,0
73,C956954767,3,F,M348934600,es_transportation,13.26,0
132,C206074131,5,F,M1823072687,es_transportation,8.02,0
76,C116386695,2,M,M1823072687,es_transportation,73.38,0
1,C717345438,3,M,M1823072687,es_transportation,29.22,0
92,C1739071229,4,F,M1823072687,es_transportation,5.1,0
19,C1457388461,2,F,M348934600,es_transportation,31.03,0
122,C1928637369,3,F,M1823072687,es_transportation,13.16,0
99,C1394454342,1,M,M1823072687,es_transportation,25.01,0
111,C1130847219,4,M,M1823072687,es_transportation,0.98,0
68,C1035666255,2,M,M348934600,es_transportation,17.16,0
135,C471166875,1,M,M1823072687,es_transportation,14.11,0
26,C824784700,3,F,M348934600,es_transportation,25.48,0
16,C720418898,3,M,M348934600,es_transportation,28.38,0
80,C251449240,3,F,M348934600,es_transportation,75.67,0
28,C1992960127,3,F,M1823072687,es_transportation,36.8,0
84,C464042268,6,F,M1823072687,es_transportation,17.32,0
132,C177123752,4,M,M1823072687,es_transportation,34.95,0
55,C2030210340,2,M,M1823072687,es_transportation,40.82,0
171,C1667002698,3,M,M1823072687,es_transportation,53.55,0
49,C1950870438,1,F,M1823072687,es_transportation,5.96,0
146,C351144071,2,M,M1823072687,es_transportation,18.4,0
127,C1587738251,3,F,M1823072687,es_transportation,23.67,0
6,C846682077,3,M,M348934600,es_transportation,58.7,0
15,C398651508,4,F,M348934600,es_transportation,53.96,0
125,C114981535,3,F,M348934600,es_transportation,12.88,0
145,C1178005728,3,F,M348934600,es_transportation,34.09,0
66,C98014803,2,F,M151143676,es_barsandrestaurants,29.38,0
52,C759940472,2,M,M348934600,es_transportation,31.13,0
75,C525158878,2,F,M348934600,es_transportation,32.76,0
120,C116386695,2,M,M1823072687,es_transportation,48.29,0
166,C995235283,3,F,M348934600,es_transportation,3.26,0
20,C1248053373,2,M,M348934600,es_transportation,18.56,0
148,C1028995887,2,F,M348934600,es_transportation,41.05,0
155,C1005495267,1,M,M1823072687,es_transportation,33.76,0
43,C1199849921,5,M,M1823072687,es_transportation,61.43,0
103,C17589297,4,F,M1823072687,es_transportation,77.6,0
152,C1591008232,4,F,M1823072687,es_transportation,20.34,0
105,C2143703121,5,F,M1823072687,es_transportation,29.47,0
148,C378899672,1,F,M1823072687,es_transportation,56.56,0
71,C1029994689,3,M,M1823072687,es_transportation,26.27,0
52,C949319027,2,M,M348934600,es_transportation,27.9,0
65,C647931416,3,F,M480139044,es_health,1.28,0
40,C1873506157,1,M,M1823072687,es_transportation,14.75,0
34,C469767739,2,M,M348934600,es_transportation,14.45,0
25,C5079947,3,F,M348934600,es_transportation,46.69,0
151,C320158645,2,M,M855959430,es_hyper,18.94,0
75,C864725258,5,F,M1823072687,es_transportation,28.56,0
152,C1887082660,2,M,M1823072687,es_transportation,4.12,0
22,C1160118068,2,M,M348934600,es_transportation,22.65,0
169,C447271561,3,M,M1053599405,es_health,48.74,0
26,C298317613,6,F,M348934600,es_transportation,4.07,0
64,C1783773775,2,M,M1823072687,es_transportation,21.21,0
152,C1132392725,2,F,M1823072687,es_transportation,15.24,0
161,C1553941793,1,F,M1823072687,es_transportation,52.74,0
41,C1700873233,3,F,M348934600,es_transportation,26.59,0
44,C1488142454,2,F,M1823072687,es_transportation,6.15,0
70,C620542168,2,M,M348934600,es_transportation,20.21,0
15,C503433561,4,M,M348934600,es_transportation,25.27,0
84,C1275053057,1,F,M1823072687,es_transportation,65.99,0
162,C1577104524,2,M,M348934600,es_transportation,5.79,0
104,C1002759277,1,F,M1823072687,es_transportation,13.36,0
76,C680687990,4,F,M348934600,es_transportation,19.5,0
93,C1547689237,4,F,M1823072687,es_transportation,24.25,0
1,C1956819896,2,M,M348934600,es_transportation,23.78,0
50,C1225704566,2,F,M348934600,es_transportation,57.69,0
177,C810002129,2,F,M348934600,es_transportation,45.62,0
62,C864134074,4,F,M348934600,es_transportation,16.28,0
61,C1839662768,3,F,M348934600,es_transportation,1.79,0
22,C245908628,3,M,M348934600,es_transportation,39.95,0
36,C102010508,2,F,M348934600,es_transportation,11.65,0
140,C743791359,3,F,M1823072687,es_transportation,14.28,0
51,C222098023,3,M,M1823072687,es_transportation,22.83,0
122,C1092769857,5,F,M348934600,es_transportation,14.73,0
86,C486343841,3,M,M1823072687,es_transportation,24.66,0
100,C682529129,3,F,M1823072687,es_transportation,58.5,0
166,C911582672,3,M,M1823072687,es_transportation,0.46,0
19,C2089485741,3,M,M348934600,es_transportation,39.05,0
