Transaction ID,Transaction Hour,Transaction Amount,Account Age Days,Is Fraudulent,y_pred,y_pred_proba
34bf1ce8-118a-467b-a319-9e7e02d5845c,5,79.02,216,0,0,0.1144029098378404
bd73ee3b-34da-4dd5-a494-1e0964045a47,22,89.29,198,0,0,0.1728543365462147
65db4491-943b-49f1-96f6-948b677ae953,10,1070.04,148,0,0,0.3899517118104229
bc3198c1-64f6-473b-bcbc-dfdfe59dc64d,21,281.05,35,0,0,0.2288574888229273
f3dd988b-ffc4-4d5e-95fe-e9760f1b52ab,11,69.61,271,0,0,0.3578407407688714
8282bd9e-032b-45dd-9a0a-2a6bcb1364d5,16,79.89,296,0,0,0.3683880900707619
150e1ef8-41a9-4707-b6c7-b7cf03e821b5,9,280.1,99,0,0,0.1298453443634643
991070a2-77b2-41a3-940c-b67f18375f36,10,249.04,266,0,0,0.1024213000561827
8f9735b7-9c83-4e50-a78b-065654751d4a,23,36.27,261,0,0,0.1335447034446927
f358bbdf-d00f-4683-ab86-33fd4d961bc4,7,69.45,143,0,0,0.3474186305301198
857e02c3-08f3-4cc7-bfb6-dbd0ebe308a8,20,632.84,68,0,0,0.017414066320649
099f94d8-6113-47a7-afbe-1ad2a97eb9f7,2,224.53,254,0,0,0.1445539328138498
80af3922-f979-44b0-9672-642100ee63d4,2,83.84,270,0,0,0.2138280764948957
4f36d1b8-4e55-4520-9061-28f80ee9b496,13,225.15,210,0,0,0.0107707414697428
dbe3983b-1e03-49ae-802f-4fd79adde448,18,141.84,250,0,0,0.1901951859097843
a4c4171f-6bd1-42b2-b7da-92d01dbdf12e,10,68.23,197,0,0,0.0661574498896003
536d3c34-e651-49aa-bf5b-0b797d4dac42,12,103.91,147,0,0,0.036496441620857
4792b630-e006-4df5-8396-0bc281947fef,9,13.07,291,0,0,0.2767634531345115
77eba348-3b8f-43d0-a395-0e18881a1a41,19,404.13,37,0,0,0.3192648756281752
28d2b83c-034a-4435-b076-95bae7951b80,18,171.33,277,0,0,0.3587721494837484
854441e2-851c-46e7-89b8-9473f6390b6e,0,207.89,163,0,0,0.3117493257108734
7524db8d-421c-444b-8e15-eac3db747f13,10,270.56,339,0,0,0.2337190216871905
b078ba9e-2c11-43a7-aab4-505628f71d6e,0,437.29,349,0,0,0.2588233747310223
76648e2a-f56b-4f15-a93b-c438cc9bcff8,17,340.13,193,0,0,0.0461072160431332
8f2f0082-61cd-4e79-909e-dc10922a1b0d,14,172.97,219,0,0,0.3335901230018688
e3b28a12-1fde-4e8f-9204-996c16c62f0f,9,314.21,235,0,0,0.2092357127556049
d8359f94-8e37-4e95-9e09-7d7ac8409a39,10,105.43,156,0,0,0.1747181932624903
939e9f2d-52a4-40cc-bd02-f4864fe2be25,15,55.63,338,0,0,0.1782973264830414
8a1bd640-0e44-4394-8589-057d253677df,4,216.48,19,0,1,0.7633822790267453
88dc3172-9458-4adc-8581-94023872074a,12,109.68,328,0,0,0.3068501341825315
4170c6a0-f393-46e2-89df-c013e1390b7e,4,277.32,12,0,1,0.7353723167335197
c2ed06cf-7e5e-4970-9190-5424268cb5af,21,86.58,64,0,0,0.3063066345165701
3c2fa2b6-c684-4928-a21c-7be05108ca59,10,146.75,214,0,0,0.2951887186089529
11359125-d90d-436b-adaf-e0734c9755d5,21,35.21,60,0,0,0.0462586000390663
0ded08dd-7e71-4198-ad0f-3c2ca65b8524,14,116.68,107,0,0,0.3521953583637899
c98b4dc4-b612-461f-9ab3-fd7f69026cac,4,223.29,192,0,0,0.2211118253312403
10f5ddf6-2709-4291-b4da-ade614fa2f18,23,73.04,70,0,0,0.0532803160982099
26787340-4b63-4f61-8c18-2cc51146cecf,1,135.36,356,0,0,0.2586681331733194
03a05baf-70f8-43c7-9118-5db3778325a8,20,261.98,106,0,0,0.0650742453171007
9dd70dfb-d62c-42c1-8a10-dd7280fe3e42,7,144.47,171,0,0,0.2894453890885073
3c8faf2c-16cb-4b6a-b329-08ed80368b90,22,33.87,119,0,0,0.3583247747049885
9e9f65b6-b1ca-4f72-91ad-6bad2385cb6b,2,136.29,288,0,0,0.2535024256679571
83b80af4-f2a7-44fd-8fd2-8efc947c7277,16,242.15,203,0,0,0.3607414353340037
4484a138-ea76-429a-8dc2-ddc68e533eb4,7,93.11,132,0,0,0.1053251781093952
71da03a8-88ca-413e-900d-a0a963b3079f,6,68.52,331,0,0,0.252983622263977
114860e8-a22f-460b-b37e-2fdc0bb04a41,6,502.39,304,0,0,0.2230068559408975
d34d95e3-c9ad-43dc-8ea8-12889a382480,15,47.69,312,0,0,0.3444721143266466
f52f8dec-deb8-4667-8ff7-008613c509fe,11,522.47,280,0,0,0.0550611942382655
4b7f4b5d-5499-4de5-9150-83ed0a2d63c1,4,475.7,30,0,0,0.2600036858045125
ddb05091-60f3-43e5-83af-28df036bc569,3,133.32,96,0,0,0.2033827066320731
6f2ff239-6da1-41a0-84e3-39303362414f,5,307.84,9,1,1,0.9366120578903532
d32c6884-344d-4f20-ac3f-d22c2bf423dc,19,506.51,33,0,0,0.1789433543803457
24145a8e-8e9e-4949-9230-fd265415f0a3,15,83.62,204,0,0,0.0074069984130462
cd13eca6-d6da-4ac2-9924-6979a19f21ab,16,68.64,132,0,0,0.3370781320238153
ac9f437c-86eb-4bd6-90e7-85cd027d9e11,15,13.95,360,0,0,0.2490280700427929
906ad14b-d05d-4f9e-a327-b7212e82590e,5,145.01,49,0,0,0.0785352982215128
62605fa4-7a32-4e59-96ef-687b8c437ae4,17,53.85,81,0,0,0.0108077744623596
e06182ae-1345-46a4-80a5-4858f1ab2d53,19,153.45,114,0,0,0.1391556921599478
612d9812-1d4e-4002-96b9-7bbfbce556e5,20,268.43,16,0,0,0.3431795352793916
df1ef85d-cc64-483c-a2dd-4da5b1742e01,3,81.71,220,0,0,0.0498560517210976
e5bf0aa7-1e46-459d-b7d9-da3f19b9e9ba,16,628.09,233,0,0,0.0106371270211573
03fdefa1-6eaa-44e4-88b1-c152fac9a311,13,380.5,187,0,0,0.0889265202373432
32904b12-f89e-4f0f-bb80-1231812e97df,12,153.74,324,0,0,0.27949300654892
94681273-5582-4541-a962-845ff498d107,11,123.87,78,0,0,0.1771996000717406
856554ce-1bc8-4c1f-9769-4a3c8894f417,9,461.56,11,0,0,0.0541497174325014
6b646aac-ba6f-42a8-998f-ea5206d71258,16,258.39,51,1,0,0.125553187208319
938b83a8-3632-4281-8ac1-367459a95abc,14,17.4,232,0,0,0.0542137142405037
2f544a75-f79a-4d7a-bca0-861d9cdbe38f,14,98.71,47,0,0,0.0914728889137455
efebe44b-64e0-4ab6-aeaa-c6aea5796f2a,0,235.44,6,1,1,0.6656641473827506
23e3c107-f2fc-48c2-abbc-7b809bf6f102,2,85.03,203,0,0,0.0060201546215428
45dd9f80-8a23-4d4a-ac0a-89504901fb88,19,151.11,270,0,0,0.1231357131821434
54c24e9f-4cc8-4e18-8a60-aa77bd346d0b,8,13.27,209,0,0,0.0109248077764946
